University name,City,State,Nursing Degrees,Slug
Morgan State University,baltimore-md,maryland,bachelor-of-science-nursing; master-of-science-nursing,morgan-state-university
Coppin State University,baltimore-md,maryland,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,coppin-state-university
Webber International University,,florida,bachelor-of-science-nursing,webber-international-university
Union Commonwealth University,barbourville-ky,kentucky,bachelor-of-science-nursing,union-commonwealth-university
Husson University,bangor-me,maine,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,husson-university
Universidad Central de Bayamon,,,bachelor-of-science-nursing,universidad-central-de-bayamon
Southern University and A&M College,baton-rouge-la,louisiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,southern-university-and-a-m-college
Universidad Interamericana de Puerto Rico-Barranquitas,,,bachelor-of-science-nursing,universidad-interamericana-de-puerto-rico-barranquitas
VA Bedford Healthcare System,bedford-ma,massachusetts,nurse-practitioner-residency,va-bedford-healthcare-system
Oklahoma Wesleyan University,bartlesville-ok,oklahoma,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,oklahoma-wesleyan-university
Bellevue College,bellevue-wa,washington,bachelor-of-science-nursing,bellevue-college
Universidad Interamericana de Puerto Rico-Bayamon,,,bachelor-of-science-nursing,universidad-interamericana-de-puerto-rico-bayamon
Bemidji State University,bemidji-mn,minnesota,bachelor-of-science-nursing,bemidji-state-university
Southern Nazarene University,bethany-ok,oklahoma,bachelor-of-science-nursing,southern-nazarene-university
Bellevue University,bellevue-ne,nebraska,bachelor-of-science-nursing,bellevue-university
University of Mary Hardin-Baylor,belton-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,university-of-mary-hardin-baylor
Western Washington University,bellingham-wa,washington,bachelor-of-science-nursing,western-washington-university
Belmont Abbey College,,north-carolina,bachelor-of-science-nursing; master-of-science-nursing,belmont-abbey-college
Baldwin Wallace University,berea-oh,ohio,bachelor-of-science-nursing,baldwin-wallace-university
Berea College,berea-ky,kentucky,bachelor-of-science-nursing,berea-college
Samford University,birmingham-al,alabama,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,samford-university
Ferris State University,big-rapids-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,ferris-state-university
Uniformed Services University of the Health Sciences,bethesda-md,maryland,master-of-science-nursing; doctor-of-nursing,uniformed-services-university-of-the-health-sciences
Montana State University Billings,billings-mt,montana,bachelor-of-science-nursing,montana-state-university-billings
Moravian University,bethlehem-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing,moravian-university
Endicott College,beverly-ma,massachusetts,bachelor-of-science-nursing,endicott-college
University of Alabama at Birmingham,birmingham-al,alabama,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-alabama-at-birmingham
Florida Atlantic University,boca-raton-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,florida-atlantic-university
Illinois Wesleyan University,bloomington-il,illinois,bachelor-of-science-nursing,illinois-wesleyan-university
Bluffton University,bluffton-oh,ohio,bachelor-of-science-nursing,bluffton-university
Appalachian State University,boone-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing,appalachian-state-university
Bluefield University,,virginia,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,bluefield-university
University of South Carolina Beaufort,bluffton-sc,south-carolina,bachelor-of-science-nursing,university-of-south-carolina-beaufort
Commonwealth University,bloomsburg-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,commonwealth-university
Bluefield State University,bluefield-wv,west-virginia,bachelor-of-science-nursing,bluefield-state-university
Bloomfield College,bloomfield-nj,new-jersey,bachelor-of-science-nursing,bloomfield-college
University of Mary,bismarck-nd,north-dakota,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-mary
Boise State University,boise-id,idaho,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,boise-state-university
MGH Institute of Health Professions,boston-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,mgh-institute-of-health-professions
Simmons University,boston-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,simmons-university
Northeastern University,boston-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,northeastern-university
University of Massachusetts Boston,boston-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-massachusetts-boston
Emmanuel College,boston-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing,emmanuel-college
MCPHS University,boston-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,mcphs-university
King University,bristol-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,king-university
University of Bridgeport,bridgeport-ct,connecticut,bachelor-of-science-nursing; master-of-science-nursing,university-of-bridgeport
Olivet Nazarene University,bourbonnais-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,olivet-nazarene-university
Olympic College,bremerton-wa,washington,bachelor-of-science-nursing,olympic-college
Bowling Green State University,bowling-green-oh,ohio,bachelor-of-science-nursing,bowling-green-state-university
Montana State University,bozeman-mt,montana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,montana-state-university
Western Kentucky University,bowling-green-ky,kentucky,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,western-kentucky-university
University of Mount St. Vincent,bronx-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,university-of-mount-st-vincent
"Long Island University, Brooklyn Campus",brooklyn-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,long-island-university-brooklyn-campus
State University of New York Brockport,brockport-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,state-university-of-new-york-brockport
"Herzing University, Brookfield",brookfield-wi,wisconsin,bachelor-of-science-nursing,herzing-university-brookfield
Lehman College-The City University of New York,bronx-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,lehman-college-the-city-university-of-new-york
Saint Francis College,,new-york,bachelor-of-science-nursing,saint-francis-college
Fisher College,brockton-ma,massachusetts,bachelor-of-science-nursing,fisher-college
South Dakota State University,brookings-sd,south-dakota,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,south-dakota-state-university
"University at Buffalo, State University of New York",buffalo-ny,new-york,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-at-buffalo-state-university-of-new-york
West Virginia Wesleyan College,buckhannon-wv,west-virginia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,west-virginia-wesleyan-college
Touro College,brooklyn-ny,new-york,bachelor-of-science-nursing,touro-college
"University of Vermont, The",burlington-vt,vermont,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-vermont-the
"Long Island University, C. W. Post Campus",,new-york,bachelor-of-science-nursing; master-of-science-nursing,long-island-university-c-w-post-campus
State University of New York Downstate Health Sciences University,brooklyn-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,state-university-of-new-york-downstate-health-sciences-university
Howard Payne University,brownwood-tx,texas,bachelor-of-science-nursing,howard-payne-university
D'Youville University,buffalo-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,dyouville-university
Texas A&M University Health Science Center,bryan-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,texas-a-m-university-health-science-center
West Texas A & M University,canyon-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,west-texas-a-m-university
Aultman College of Nursing and Health Sciences,canton-oh,ohio,bachelor-of-science-nursing,aultman-college-of-nursing-and-health-sciences
"Rutgers, The State University of New Jersey-Camden",camden-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,rutgers-the-state-university-of-new-jersey-camden
