University name,City,State,Nursing Degrees,Slug
Wayne State University,detroit-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,wayne-state-university
"University of Texas, Rio Grande Valley",edinburg-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-texas-rio-grande-valley
Bay Path University,east-longmeadow-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,bay-path-university
"University of Wisconsin, Eau Claire",eau-claire-wi,wisconsin,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-wisconsin-eau-claire
Goodwin University,east-hartford-ct,connecticut,bachelor-of-science-nursing; master-of-science-nursing,goodwin-university
Michigan State University,east-lansing-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,michigan-state-university
"College of St. Scholastica, The",duluth-mn,minnesota,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,college-of-st-scholastica-the
Oklahoma Christian University,edmond-ok,oklahoma,bachelor-of-science-nursing,oklahoma-christian-university
University of New Hampshire,,new-hampshire,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-new-hampshire
Durham VA Healthcare System,durham-nc,north-carolina,nurse-practitioner-residency,durham-va-healthcare-system
University of Texas at El Paso,el-paso-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-texas-at-el-paso
Texas Tech University Health Sciences Center-El Paso,el-paso-tx,texas,bachelor-of-science-nursing; master-of-science-nursing,texas-tech-university-health-sciences-center-el-paso
Gannon University,erie-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,gannon-university
University of Central Oklahoma,edmond-ok,oklahoma,bachelor-of-science-nursing; master-of-science-nursing,university-of-central-oklahoma
Southern Illinois University Edwardsville,edwardsville-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,southern-illinois-university-edwardsville
Southwest University at El Paso,el-paso-tx,texas,bachelor-of-science-nursing,southwest-university-at-el-paso
Northern New Mexico College,espanola-nm,new-mexico,bachelor-of-science-nursing,northern-new-mexico-college
Elmhurst University,elmhurst-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,elmhurst-university
Sacred Heart University,fairfield-ct,connecticut,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,sacred-heart-university
Bushnell University,eugene-or,oregon,bachelor-of-science-nursing,bushnell-university
George Mason University,fairfax-va,virginia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,george-mason-university
"College of New Jersey, The",ewing-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,college-of-new-jersey-the
University of Southern Indiana,evansville-in,indiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-southern-indiana
Fairfield University,fairfield-ct,connecticut,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,fairfield-university
Farmingdale State College,farmingdale-ny,new-york,bachelor-of-science-nursing,farmingdale-state-college
University of Arkansas,fayetteville-ar,arkansas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-arkansas
Fayetteville State University,fayetteville-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing,fayetteville-state-university
Fairmont State University,fairmont-wv,west-virginia,bachelor-of-science-nursing,fairmont-state-university
North Dakota State University,fargo-nd,north-dakota,bachelor-of-science-nursing; doctor-of-nursing,north-dakota-state-university
Longwood University,farmville-va,virginia,bachelor-of-science-nursing,longwood-university
Methodist University,fayetteville-nc,north-carolina,bachelor-of-science-nursing,methodist-university
Central Methodist University,fayette-mo,missouri,bachelor-of-science-nursing; master-of-science-nursing,central-methodist-university
Beckfield College,florence-ky,kentucky,bachelor-of-science-nursing,beckfield-college
Francis Marion University,florence-sc,south-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,francis-marion-university
Northern Arizona University,flagstaff-az,arizona,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,northern-arizona-university
"University of Findlay, The",findlay-oh,ohio,bachelor-of-science-nursing,university-of-findlay-the
University of North Alabama,florence-al,alabama,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-north-alabama
Mary Baldwin University,fishersville-va,virginia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,mary-baldwin-university
"University of Michigan, Flint",flint-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-michigan-flint
Fitchburg State University,fitchburg-ma,massachusetts,bachelor-of-science-nursing; master-of-science-nursing,fitchburg-state-university
Morgan Community College,fort-morgan-co,colorado,bachelor-of-science-nursing,morgan-community-college
Waldorf University,,iowa,bachelor-of-science-nursing,waldorf-university
Plaza College,forest-hills-ny,new-york,bachelor-of-science-nursing,plaza-college
Nova Southeastern University,fort-lauderdale-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,nova-southeastern-university
Marian University of Wisconsin,fond-du-lac-wi,wisconsin,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,marian-university-of-wisconsin
University of Maine at Fort Kent,fort-kent-me,maine,bachelor-of-science-nursing; master-of-science-nursing,university-of-maine-at-fort-kent
Braxton College,fort-myers-fl,florida,bachelor-of-science-nursing,braxton-college
Florida Gulf Coast University,fort-myers-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,florida-gulf-coast-university
Hood College,frederick-md,maryland,bachelor-of-science-nursing,hood-college
Texas Christian University,fort-worth-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,texas-christian-university
Texas Wesleyan University,fort-worth-tx,texas,master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,texas-wesleyan-university
University of Mary Washington,fredericksburg-va,virginia,bachelor-of-science-nursing,university-of-mary-washington
Cook Children's Medical Center,fort-worth-tx,texas,employee-based-entry-to-practice-residency,cook-childrens-medical-center
University of Arkansas-Fort Smith,fort-smith-ar,arkansas,bachelor-of-science-nursing,university-of-arkansas-fort-smith
Manchester University,fort-wayne-in,indiana,bachelor-of-science-nursing,manchester-university
University of Saint Francis,fort-wayne-in,indiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-saint-francis
Fresno Pacific University,fresno-ca,california,bachelor-of-science-nursing; master-of-science-nursing,fresno-pacific-university
"California State University, Fresno",fresno-ca,california,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,california-state-university-fresno
Unitek College,fremont-ca,california,bachelor-of-science-nursing,unitek-college
Malcom Randall VA Medical Center,gainesville-fl,florida,employee-based-entry-to-practice-residency; federally-funded-traineeship-residency; nurse-practitioner-residency,malcom-randall-va-medical-center
Frostburg State University,frostburg-md,maryland,bachelor-of-science-nursing; master-of-science-nursing,frostburg-state-university
VA Central California Health Care System,fresno-ca,california,federally-funded-traineeship-residency,va-central-california-health-care-system
Santa Fe College,gainesville-fl,florida,bachelor-of-science-nursing,santa-fe-college
Keiser University,,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,keiser-university
"California State University, Fullerton",fullerton-ca,california,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,california-state-university-fullerton
Glendale Career College,glendale-ca,california,bachelor-of-science-nursing,glendale-career-college
Stockton University,galloway-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,stockton-university
University of Texas Medical Branch Health System,galveston-tx,texas,employee-based-entry-to-practice-residency,university-of-texas-medical-branch-health-system
Brenau University,gainesville-ga,georgia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,brenau-university
Midwestern University,glendale-az,arizona,master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,midwestern-university
University of Texas Medical Branch at Galveston,galveston-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-texas-medical-branch-at-galveston
Goshen College,goshen-in,indiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,goshen-college
University of Florida,gainesville-fl,florida,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-florida
Goshen College-Eastern Mennonite University DNP Consortium,goshen-in,indiana,doctor-of-nursing,goshen-college-eastern-mennonite-university-dnp-consortium
Cornerstone University,grand-rapids-mi,michigan,bachelor-of-science-nursing,cornerstone-university
Grambling State University,,louisiana,bachelor-of-science-nursing,grambling-state-university
Davenport University,grand-rapids-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,davenport-university
Colorado Mesa University,grand-junction-co,colorado,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,colorado-mesa-university
Grand Valley State University,grand-rapids-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,grand-valley-state-university
University of North Dakota,grand-forks-nd,north-dakota,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-north-dakota
Calvin University,grand-rapids-mi,michigan,bachelor-of-science-nursing,calvin-university
University of Providence,great-falls-mt,montana,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,university-of-providence
East Carolina University,greenville-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,east-carolina-university
University of North Carolina at Greensboro,greensboro-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-north-carolina-at-greensboro
Bob Jones University,greenville-sc,south-carolina,bachelor-of-science-nursing,bob-jones-university
Seton Hill University,greensburg-pa,pennsylvania,bachelor-of-science-nursing,seton-hill-university
Kentucky Christian University,grayson-ky,kentucky,bachelor-of-science-nursing; master-of-science-nursing,kentucky-christian-university
University of Northern Colorado,greeley-co,colorado,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-northern-colorado
"University of Wisconsin, Green Bay",green-bay-wi,wisconsin,bachelor-of-science-nursing; master-of-science-nursing,university-of-wisconsin-green-bay
Thiel College,greenville-pa,pennsylvania,bachelor-of-science-nursing,thiel-college
Bellin College,green-bay-wi,wisconsin,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,bellin-college
Gwynedd Mercy University,,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,gwynedd-mercy-university
Miami University,hamilton-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing,miami-university
Quinnipiac University,hamden-ct,connecticut,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,quinnipiac-university
Universidad Ana G. Mendez,,,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,universidad-ana-g-mendez
Universidad Interamericana de Puerto Rico-Guayama,,,bachelor-of-science-nursing,universidad-interamericana-de-puerto-rico-guayama
Southeastern Louisiana University,hammond-la,louisiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,southeastern-louisiana-university
Lander University,greenwood-sc,south-carolina,bachelor-of-science-nursing; master-of-science-nursing,lander-university
Hannibal-LaGrange University,hannibal-mo,missouri,bachelor-of-science-nursing,hannibal-lagrange-university
William Carey University,hattiesburg-ms,mississippi,bachelor-of-science-nursing; master-of-science-nursing,william-carey-university
Harrisburg University of Science and Technology,harrisburg-pa,pennsylvania,master-of-science-nursing,harrisburg-university-of-science-and-technology
James Madison University,harrisonburg-va,virginia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,james-madison-university
Eastern Mennonite University,harrisonburg-va,virginia,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,eastern-mennonite-university
"University of Southern Mississippi, The",hattiesburg-ms,mississippi,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-southern-mississippi-the
Hampton University,hampton-va,virginia,bachelor-of-science-nursing; master-of-science-nursing,hampton-university
Freed-Hardeman University,henderson-tn,tennessee,bachelor-of-science-nursing,freed-hardeman-university
Roseman University of Health Sciences,henderson-nv,nevada,bachelor-of-science-nursing; master-of-science-nursing,roseman-university-of-health-sciences
Fort Hays State University,hays-ks,kansas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,fort-hays-state-university
New England College,,new-hampshire,bachelor-of-science-nursing,new-england-college
"California State University, East Bay",hayward-ca,california,bachelor-of-science-nursing; master-of-science-nursing,california-state-university-east-bay
Nevada State University,henderson-nv,nevada,bachelor-of-science-nursing,nevada-state-university
Carroll College-Montana,helena-mt,montana,bachelor-of-science-nursing,carroll-college-montana
Touro University Nevada,henderson-nv,nevada,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,touro-university-nevada
Hofstra University,hempstead-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,hofstra-university
Northern Kentucky University,,kentucky,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,northern-kentucky-university
University of Hawaii at Hilo,hilo-hi,hawaii,bachelor-of-science-nursing; doctor-of-nursing,university-of-hawaii-at-hilo
Hesston College,hesston-ks,kansas,bachelor-of-science-nursing,hesston-college
Florida National University,hialeah-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,florida-national-university
Hiram College,,ohio,bachelor-of-science-nursing,hiram-college
Lenoir-Rhyne University,hickory-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,lenoir-rhyne-university
Edward Hines Jr. VA Hospital,hines-il,illinois,federally-funded-traineeship-residency,edward-hines-jr-va-hospital
Michigan Technological University,,michigan,bachelor-of-science-nursing,michigan-technological-university
Houston Christian University,houston-tx,texas,bachelor-of-science-nursing; master-of-science-nursing,houston-christian-university
Hope College,holland-mi,michigan,bachelor-of-science-nursing,hope-college
University of Hawaii at Manoa,honolulu-hi,hawaii,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-hawaii-at-manoa
Prairie View A&M University,houston-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,prairie-view-a-m-university
Chaminade University of Honolulu,honolulu-hi,hawaii,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,chaminade-university-of-honolulu
Houston Methodist,houston-tx,texas,employee-based-entry-to-practice-residency,houston-methodist
Hawaii Pacific University,honolulu-hi,hawaii,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,hawaii-pacific-university
University of St. Thomas - TX,houston-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-st-thomas---tx
"University of Texas Health Science Center at Houston, The",houston-tx,texas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-texas-health-science-center-at-houston-the
"University of Alabama in Huntsville, The",huntsville-al,alabama,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-alabama-in-huntsville-the
Huntington University,huntington-in,indiana,bachelor-of-science-nursing,huntington-university
University of Houston-Downtown,houston-tx,texas,bachelor-of-science-nursing,university-of-houston-downtown
Immaculata University,,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing,immaculata-university
Marian University,indianapolis-in,indiana,bachelor-of-science-nursing; doctor-of-nursing,marian-university
Graceland University,independence-mo,missouri,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,graceland-university
Indiana University,indianapolis-in,indiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,indiana-university
Indiana University of Pennsylvania,indiana-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing,indiana-university-of-pennsylvania
Riley Children's Health at Indiana University Health,indianapolis-in,indiana,employee-based-entry-to-practice-residency,riley-childrens-health-at-indiana-university-health
American College of Education,indianapolis-in,indiana,bachelor-of-science-nursing; master-of-science-nursing,american-college-of-education
Stanbridge University,irvine-ca,california,bachelor-of-science-nursing,stanbridge-university
"University of Iowa, The",iowa-city-ia,iowa,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-iowa-the
"University of California, Irvine",irvine-ca,california,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-california-irvine
Union University,jackson-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,union-university
University of Mississippi Medical Center,jackson-ms,mississippi,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-mississippi-medical-center
Belhaven University,jackson-ms,mississippi,bachelor-of-science-nursing,belhaven-university
"Concordia University, Irvine",irvine-ca,california,bachelor-of-science-nursing,concordia-university-irvine
University of Indianapolis,indianapolis-in,indiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-indianapolis
University of Massachusetts Global,irvine-ca,california,bachelor-of-science-nursing; doctor-of-nursing,university-of-massachusetts-global
University of Iowa Hospitals and Clinics,iowa-city-ia,iowa,employee-based-entry-to-practice-residency,university-of-iowa-hospitals-and-clinics
West Virginia State University,,west-virginia,bachelor-of-science-nursing,west-virginia-state-university
Jacksonville State University,,alabama,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,jacksonville-state-university
University of Jamestown,jamestown-nd,north-dakota,bachelor-of-science-nursing,university-of-jamestown
Carson-Newman University,jefferson-city-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,carson-newman-university
Illinois College,jacksonville-il,illinois,bachelor-of-science-nursing; master-of-science-nursing,illinois-college
University of North Florida,jacksonville-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-north-florida
Jacksonville University,jacksonville-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,jacksonville-university
University of Kansas,kansas-city-ks,kansas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-kansas
Binghamton University,johnson-city-ny,new-york,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,binghamton-university
"University of Kansas Health System, Kansas City Division, The",kansas-city-ks,kansas,employee-based-entry-to-practice-residency,university-of-kansas-health-system-kansas-city-division-the
Western Michigan University,kalamazoo-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing,western-michigan-university
New Jersey City University,jersey-city-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing,new-jersey-city-university
University of St. Francis,joliet-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-st-francis
East Tennessee State University,johnson-city-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,east-tennessee-state-university
Saint Peter's University,jersey-city-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,saint-peters-university
East Tennessee State University and Tennessee Technological University Joint DNP Program,johnson-city-tn,tennessee,doctor-of-nursing,east-tennessee-state-university-and-tennessee-technological-university-joint-dnp-program
Research College of Nursing,kansas-city-mo,missouri,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,research-college-of-nursing
"University of Missouri, Kansas City",kansas-city-mo,missouri,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-missouri-kansas-city
Keene State College,keene-nh,new-hampshire,bachelor-of-science-nursing,keene-state-college
Southwestern Adventist University,keene-tx,texas,bachelor-of-science-nursing,southwestern-adventist-university
Avila University,kansas-city-mo,missouri,bachelor-of-science-nursing,avila-university
Kennesaw State University,kennesaw-ga,georgia,bachelor-of-science-nursing; master-of-science-nursing,kennesaw-state-university
Texas A&M University-Central Texas,killeen-tx,texas,bachelor-of-science-nursing,texas-a-m-university-central-texas
Keuka College,,new-york,bachelor-of-science-nursing; master-of-science-nursing,keuka-college
Schreiner University,kerrville-tx,texas,bachelor-of-science-nursing; master-of-science-nursing,schreiner-university
Kent State University,kent-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,kent-state-university
"Herzing University, Kenosha",kenosha-wi,wisconsin,bachelor-of-science-nursing,herzing-university-kenosha
Carthage College,kenosha-wi,wisconsin,bachelor-of-science-nursing,carthage-college
Truman State University,kirksville-mo,missouri,bachelor-of-science-nursing,truman-state-university
"Indiana University, Kokomo",kokomo-in,indiana,bachelor-of-science-nursing,indiana-university-kokomo
"University of Tennessee, Knoxville",knoxville-tn,tennessee,bachelor-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-tennessee-knoxville
Biola University,la-mirada-ca,california,bachelor-of-science-nursing,biola-university
Viterbo University,,wisconsin,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,viterbo-university
Saint Martin's University,lacey-wa,washington,bachelor-of-science-nursing,saint-martins-university
South College,knoxville-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,south-college
Northwest University,kirkland-wa,washington,bachelor-of-science-nursing,northwest-university
University of Rhode Island,,rhode-island,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-rhode-island
Intercollegiate Consortium for a Master of Science in Nursing,lake-charles-la,louisiana,master-of-science-nursing; post-graduate-aprn,intercollegiate-consortium-for-a-master-of-science-in-nursing
"ECPI University, Orlando",lake-mary-fl,florida,bachelor-of-science-nursing,ecpi-university-orlando
University of Louisiana at Lafayette,lafayette-la,louisiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-louisiana-at-lafayette
McNeese State University,lake-charles-la,louisiana,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,mcneese-state-university
Florida Gateway College,lake-city-fl,florida,bachelor-of-science-nursing,florida-gateway-college
Colorado Christian University,lakewood-co,colorado,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,colorado-christian-university
Southeastern University,lakeland-fl,florida,bachelor-of-science-nursing; master-of-science-nursing,southeastern-university
Saint Joseph's University,lancaster-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,saint-josephs-university
Florida Southern College,lakeland-fl,florida,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,florida-southern-college
Georgian Court University,lakewood-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing,georgian-court-university
New Mexico State University,las-cruces-nm,new-mexico,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,new-mexico-state-university
Rider University,lawrenceville-nj,new-jersey,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,rider-university
University of Wyoming,laramie-wy,wyoming,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-wyoming
"University of Nevada, Las Vegas",las-vegas-nv,nevada,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-nevada-las-vegas
New Mexico Highlands University,las-vegas-nm,new-mexico,bachelor-of-science-nursing; master-of-science-nursing,new-mexico-highlands-university
Georgia Gwinnett College,lawrenceville-ga,georgia,bachelor-of-science-nursing,georgia-gwinnett-college
University of Saint Mary,leavenworth-ks,kansas,bachelor-of-science-nursing; master-of-science-nursing,university-of-saint-mary
Niagara University,lewiston-ny,new-york,bachelor-of-science-nursing,niagara-university
Cumberland University,lebanon-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing,cumberland-university
McKendree University,lebanon-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,mckendree-university
UK HealthCare,lexington-ky,kentucky,employee-based-entry-to-practice-residency,uk-healthcare
Lewis-Clark State College,lewiston-id,idaho,bachelor-of-science-nursing,lewis-clark-state-college
Tennessee Wesleyan University,knoxville-tn,tennessee,bachelor-of-science-nursing; master-of-science-nursing,tennessee-wesleyan-university
University of Kentucky,lexington-ky,kentucky,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-kentucky
Union Adventist University,lincoln-ne,nebraska,bachelor-of-science-nursing,union-adventist-university
Nebraska Wesleyan University,lincoln-ne,nebraska,bachelor-of-science-nursing; master-of-science-nursing,nebraska-wesleyan-university
Benedictine University,lisle-il,illinois,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,benedictine-university
Campbell University,lillington-nc,north-carolina,bachelor-of-science-nursing,campbell-university
William Jewell College,liberty-mo,missouri,bachelor-of-science-nursing,william-jewell-college
Lower Columbia College,longview-wa,washington,bachelor-of-science-nursing,lower-columbia-college
Madonna University,livonia-mi,michigan,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,madonna-university
"California State University, Long Beach",long-beach-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,california-state-university-long-beach
Loma Linda University,loma-linda-ca,california,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,loma-linda-university
Bryant & Stratton College-Liverpool,liverpool-ny,new-york,bachelor-of-science-nursing,bryant-stratton-college-liverpool
University of Arkansas for Medical Sciences,little-rock-ar,arkansas,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-arkansas-for-medical-sciences
Felician University,,new-jersey,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,felician-university
LeTourneau University,longview-tx,texas,bachelor-of-science-nursing,letourneau-university
Charles R. Drew University of Medicine and Science,los-angeles-ca,california,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,charles-r-drew-university-of-medicine-and-science
"California State University, Los Angeles",los-angeles-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,california-state-university-los-angeles
"Mount Saint Mary's University, Los Angeles",los-angeles-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,mount-saint-marys-university-los-angeles
Angeles College,los-angeles-ca,california,bachelor-of-science-nursing,angeles-college
University of Southern California,los-angeles-ca,california,master-of-science-nursing,university-of-southern-california
Saint Francis University,,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing,saint-francis-university
"University of California, Los Angeles",los-angeles-ca,california,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,university-of-california-los-angeles
World Mission University,los-angeles-ca,california,bachelor-of-science-nursing,world-mission-university
Galen College of Nursing,louisville-ky,kentucky,bachelor-of-science-nursing,galen-college-of-nursing
Spalding University,louisville-ky,kentucky,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,spalding-university
Robley Rex VA Medical Center,louisville-ky,kentucky,federally-funded-traineeship-residency,robley-rex-va-medical-center
Siena College,,new-york,bachelor-of-science-nursing,siena-college
Bellarmine University,louisville-ky,kentucky,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,bellarmine-university
University of Lynchburg,lynchburg-va,virginia,bachelor-of-science-nursing,university-of-lynchburg
University of Louisville Hospital,louisville-ky,kentucky,employee-based-entry-to-practice-residency,university-of-louisville-hospital
Wesleyan College,macon-ga,georgia,bachelor-of-science-nursing,wesleyan-college
Western Illinois University,macomb-il,illinois,bachelor-of-science-nursing,western-illinois-university
