name,slug,pay,license
Charleston,per-diem-charleston-wv,25.68,cna er
Charlotte Elizabeth,per-diem-charlotte-elizabeth-nc,26.31,cna er
Charlotte Myers Park,per-diem-charlotte-myers-park-nc,25.74,cna er
Charlotte NC,per-diem-charlotte-nc,23.77,cna er
Charlotte Plaza-Shamrock,per-diem-charlotte-plaza-shamrock-nc,25.85,cna er
Charlottesville,per-diem-charlottesville-va,25.65,cna er
Chattanooga,per-diem-chattanooga-tn,23.77,cna er
Cheektowaga,per-diem-cheektowaga-ny,25.61,cna er
Chesapeake,per-diem-chesapeake-va,26.18,cna er
Chesterville,per-diem-chesterville-oh,25.20,cna er
Chicago IL,per-diem-chicago-il,24.53,cna er
Chicago Ridge,per-diem-chicago-ridge-il,25.21,cna er
Chicago Rogers Park,per-diem-chicago-rogers-park-il,24.06,cna er
Chico,per-diem-chico-ca,25.55,cna er
Clarksburg,per-diem-clarksburg-wv,26.10,cna er
Clarksville,per-diem-clarksville-tn,25.95,cna er
Clatskanie,per-diem-clatskanie-or,23.77,cna er
Cleveland Heights,per-diem-cleveland-heights-oh,25.22,cna er
Cleveland OH,per-diem-cleveland-oh,24.53,cna er
Clifton Forge,per-diem-clifton-forge-va,24.08,cna er
Clifton NJ,per-diem-clifton-nj,24.53,cna er
Colorado Springs,per-diem-colorado-springs-co,24.08,cna er
Columbia,per-diem-columbia-sc,25.83,cna er
Columbia Falls,per-diem-columbia-falls-mt,25.95,cna er
Columbia MO,per-diem-columbia-mo,25.55,cna er
Columbus GA,per-diem-columbus-ga,25.40,cna er
Columbus OH,per-diem-columbus-oh,23.77,cna er
Coralville,per-diem-coralville-ia,25.38,cna er
Cornelius,per-diem-cornelius-nc,23.47,cna er
Corpus Christi Central City,per-diem-corpus-christi-central-city-tx,25.95,cna er
Country Club,per-diem-country-club-fl,25.23,cna er
Covington,per-diem-covington-ky,25.68,cna er
Cuyahoga Falls,per-diem-cuyahoga-falls-oh,25.14,cna er
Dallas TX,per-diem-dallas-tx,24.08,cna er
Dallastown,per-diem-dallastown-pa,23.77,cna er
Dalton,per-diem-dalton-ga,25.57,cna er
Danville,per-diem-danville-va,25.68,cna er
Davenport IA,per-diem-davenport-ia,25.61,cna er
Denver City Park West,per-diem-denver-city-park-west-co,24.06,cna er
Denver CO,per-diem-denver-co,27.57,cna er
Denville,per-diem-denville-nj,22.23,cna er
Derby,per-diem-derby-ks,25.68,cna er
Des Moines,per-diem-des-moines-ia,24.08,cna er
Des Moines Downtown Des Moines,per-diem-des-moines-downtown-des-moines-ia,23.49,cna er
Destin,per-diem-destin-fl,23.77,cna er
Detroit,per-diem-detroit-mi,23.24,cna er
Dillon MT,per-diem-dillon-mt,25.55,cna er
Dodge City,per-diem-dodge-city-ks,25.74,cna er
Doral,per-diem-doral-fl,24.53,cna er
Douglasville,per-diem-douglasville-ga,25.66,cna er
Dover,per-diem-dover-de,25.78,cna er
Downington,per-diem-downington-pa,26.10,cna er
Dublin TX,per-diem-dublin-tx,24.01,cna er
Duluth,per-diem-duluth-ga,25.85,cna er
Duluth,per-diem-duluth-mn,25.20,cna er
Durham NC,per-diem-durham-nc,23.77,cna er
Easton,per-diem-easton-pa,25.35,cna er
Edison,per-diem-edison-nj,23.77,cna er
Egg Harbor Township,per-diem-egg-harbor-township-nj,25.45,cna er
El Cerrito,per-diem-el-cerrito-ca,25.95,cna er
El Paso West Central El Paso,per-diem-el-paso-west-central-el-paso-tx,25.83,cna er
Elbert,per-diem-elbert-co,25.94,cna er
Elko,per-diem-elko-nv,24.08,cna er
Ellenton,per-diem-ellenton-fl,24.01,cna er
Elsa,per-diem-elsa-tx,22.23,cna er
Emporia,per-diem-emporia-ks,25.03,cna er
Enfield,per-diem-enfield-ct,24.51,cna er
Enid,per-diem-enid-ok,25.32,cna er
Erie,per-diem-erie-pa,25.85,cna er
Euclid,per-diem-euclid-oh,25.67,cna er
Eugene,per-diem-eugene-or,25.56,cna er
Evans GA,per-diem-evans-ga,25.37,cna er
Evansville,per-diem-evansville-in,25.85,cna er
