name,slug,pay,license
Boston,per-diem-boston-ma,51.45,rn med surg
Bothell,per-diem-bothell-wa,48.75,rn med surg
Boulder City,per-diem-boulder-city-nv,51.45,rn med surg
Bourbon,per-diem-bourbon-mo,51.78,rn med surg
Bowie,per-diem-bowie-md,52.92,rn med surg
Bowling Green,per-diem-bowling-green-ky,51.11,rn med surg
Boynton Beach,per-diem-boynton-beach-fl,54.98,rn med surg
Bozeman MT,per-diem-bozeman-mt,51.45,rn med surg
Brackettville,per-diem-brackettville-tx,50.98,rn med surg
Brandon,per-diem-brandon-fl,51.78,rn med surg
Branford,per-diem-branford-fl,50.98,rn med surg
Breckenridge CO,per-diem-breckenridge-co,51.01,rn med surg
Bremerton,per-diem-bremerton-wa,48.87,rn med surg
Brenham,per-diem-brenham-tx,55.98,rn med surg
Bridgeport,per-diem-bridgeport-ct,53.57,rn med surg
Bridgewater,per-diem-bridgewater-nj,51.11,rn med surg
Brighton CO,per-diem-brighton-co,50.98,rn med surg
Bristol FL,per-diem-bristol-fl,50.98,rn med surg
Broken Arrow,per-diem-broken-arrow-ok,51.45,rn med surg
Brookhaven,per-diem-brookhaven-ga,52.78,rn med surg
Brookings OR,per-diem-brookings-or,51.78,rn med surg
Brooklyn Center,per-diem-brooklyn-center-mn,50.65,rn med surg
Brunswick,per-diem-brunswick-me,51.98,rn med surg
Brunswick,per-diem-brunswick-mo,49.98,rn med surg
Bryan,per-diem-bryan-tx,51.11,rn med surg
Bryant,per-diem-bryant-ar,51.82,rn med surg
Bryn Athyn Huntingdon Valley,per-diem-bryn-athyn-huntingdon-valley-pa,49.98,rn med surg
Buckeye,per-diem-buckeye-az,50.98,rn med surg
Buena Ventura Lakes,per-diem-buena-ventura-lakes-fl,51.01,rn med surg
Buena Vista,per-diem-buena-vista-co,51.78,rn med surg
Buffalo,per-diem-buffalo-ny,53.43,rn med surg
Bullhead City,per-diem-bullhead-city-az,55.98,rn med surg
Burbank IL,per-diem-burbank-il,54.75,rn med surg
Burkburnett,per-diem-burkburnett-tx,50.98,rn med surg
Burleson,per-diem-burleson-tx,51.11,rn med surg
Burley ID,per-diem-burley-id,50.98,rn med surg
Butte MT,per-diem-butte-mt,51.45,rn med surg
Cabot,per-diem-cabot-ar,51.69,rn med surg
Camas,per-diem-camas-wa,51.45,rn med surg
Camp Hill PA,per-diem-camp-hill-pa,51.78,rn med surg
Campbell,per-diem-campbell-ca,51.78,rn med surg
Canby,per-diem-canby-or,50.98,rn med surg
Canon City,per-diem-canon-city-co,51.11,rn med surg
Canton,per-diem-canton-oh,48.58,rn med surg
Canton IL,per-diem-canton-il,55.98,rn med surg
Canton TX,per-diem-canton-tx,50.98,rn med surg
Cantonment,per-diem-cantonment-fl,51.11,rn med surg
Canutillo,per-diem-canutillo-tx,51.11,rn med surg
Canyon,per-diem-canyon-tx,51.45,rn med surg
Cape Coral FL,per-diem-cape-coral-fl,51.11,rn med surg
Cape May,per-diem-cape-may-nj,50.43,rn med surg
Carefree,per-diem-carefree-az,51.11,rn med surg
Caribou,per-diem-caribou-me,50.09,rn med surg
Carmel,per-diem-carmel-in,51.11,rn med surg
Carnegie,per-diem-carnegie-ok,51.45,rn med surg
Carrabelle,per-diem-carrabelle-fl,51.45,rn med surg
Carroll,per-diem-carroll-ia,51.78,rn med surg
Carrollton,per-diem-carrollton-tx,51.78,rn med surg
Carson City,per-diem-carson-city-nv,51.11,rn med surg
Carthage,per-diem-carthage-3-tx,54.98,rn med surg
Casa Grande,per-diem-casa-grande-az,50.98,rn med surg
Castle Dale,per-diem-castle-dale-ut,51.78,rn med surg
Castle Pines,per-diem-castle-pines-co,51.11,rn med surg
Castroville,per-diem-castroville-tx,51.45,rn med surg
Cedar City,per-diem-cedar-city-ut,51.11,rn med surg
Cedar Rapids,per-diem-cedar-rapids-ia,50.98,rn med surg
Celebration,per-diem-celebration-fl,50.98,rn med surg
Celina,per-diem-celina-tx,51.11,rn med surg
Centennial,per-diem-centennial-co,51.78,rn med surg
Centerville OH,per-diem-centerville-oh,52.89,rn med surg
Century,per-diem-century-fl,51.11,rn med surg
Champaign,per-diem-champaign-il,48.87,rn med surg
Chandler,per-diem-chandler-az,51.45,rn med surg
Chapel Hill,per-diem-chapel-hill-nc,54.98,rn med surg
Charleston,per-diem-charleston-sc,51.97,rn med surg
Charleston,per-diem-charleston-wv,48.33,rn med surg
Charlotte NC,per-diem-charlotte-nc,51.45,rn med surg
Charlotte Plaza-Shamrock,per-diem-charlotte-plaza-shamrock-nc,53.67,rn med surg
Charlottesville,per-diem-charlottesville-va,54.11,rn med surg
Chatsworth,per-diem-chatsworth-ga,51.78,rn med surg
Chattahoochee,per-diem-chattahoochee-fl,51.11,rn med surg
Chattanooga,per-diem-chattanooga-tn,50.98,rn med surg
Cheektowaga,per-diem-cheektowaga-ny,53.95,rn med surg
Cherokee,per-diem-cherokee-ia,51.45,rn med surg
Cherry Hill,per-diem-cherry-hill-nj,51.45,rn med surg
Chesapeake,per-diem-chesapeake-va,53.89,rn med surg
Chester City,per-diem-chester-city-pa,50.31,rn med surg
Chesterfield,per-diem-chesterfield-mo,49.69,rn med surg
Chestnut Ridge,per-diem-chestnut-ridge-nj,51.11,rn med surg
Chicago Heights IL,per-diem-chicago-heights-il,51.11,rn med surg
Chicago IL,per-diem-chicago-il,54.75,rn med surg
Chicago Portage Park,per-diem-chicago-portage-park-il,48.17,rn med surg
Chicago Ridge,per-diem-chicago-ridge-il,44.65,rn med surg
Chico,per-diem-chico-ca,51.11,rn med surg
Chiefland,per-diem-chiefland-fl,51.45,rn med surg
Childress,per-diem-childress-tx,51.11,rn med surg
Chillicothe OH,per-diem-chillicothe-oh,50.98,rn med surg
Chiloquin,per-diem-chiloquin-or,51.78,rn med surg
Chipley,per-diem-chipley-fl,51.11,rn med surg
Chula Vista,per-diem-chula-vista-ca,52.31,rn med surg
Cicero,per-diem-cicero-il,48.43,rn med surg
Cincinnati,per-diem-cincinnati-oh,50.98,rn med surg
Clarendon,per-diem-clarendon-tx,51.78,rn med surg
Clarksville,per-diem-clarksville-tn,51.26,rn med surg
Clatskanie,per-diem-clatskanie-or,51.11,rn med surg
Clearfield,per-diem-clearfield-ut,51.01,rn med surg
Clearwater,per-diem-clearwater-fl,51.11,rn med surg
Clermont FL,per-diem-clermont-fl,50.98,rn med surg
Cleveland,per-diem-cleveland-tn,51.33,rn med surg
Cleveland OH,per-diem-cleveland-oh,51.11,rn med surg
Clewiston,per-diem-clewiston-fl,51.45,rn med surg
Clifton Forge,per-diem-clifton-forge-va,51.11,rn med surg
Clifton NJ,per-diem-clifton-nj,50.98,rn med surg
Clifton TX,per-diem-clifton-tx,51.11,rn med surg
Clinton OH,per-diem-clinton-oh,51.45,rn med surg
Clyde,per-diem-clyde-tx,51.78,rn med surg
Cocoa Beach,per-diem-cocoa-beach-fl,54.98,rn med surg
Coconut Creek,per-diem-coconut-creek-fl,51.45,rn med surg
College Station,per-diem-college-station-tx,51.01,rn med surg
Colleyville,per-diem-colleyville-tx,51.78,rn med surg
Collierville,per-diem-collierville-tn,51.58,rn med surg
Collinsville,per-diem-collinsville-tx,51.11,rn med surg
Colorado Springs,per-diem-colorado-springs-co,50.98,rn med surg
Colton,per-diem-colton-ca,51.11,rn med surg
Columbia,per-diem-columbia-md,52.43,rn med surg
Columbia,per-diem-columbia-sc,49.89,rn med surg
Columbia Midtown - Downtown,per-diem-columbia-midtown-downtown-sc,45.66,rn med surg
