name,slug,pay,license
Dothan,medication-aide-certified-per-diem-prn-dothan-al,25.43,ma-c
Draper UT,medication-aide-certified-per-diem-prn-draper-ut,25.55,ma-c
Drasco,medication-aide-certified-per-diem-prn-drasco-ar,25.39,ma-c
Dublin OH,medication-aide-certified-per-diem-prn-dublin-oh,26.24,ma-c
Duchesne,medication-aide-certified-per-diem-prn-duchesne-ut,25.55,ma-c
Dugway,medication-aide-certified-per-diem-prn-dugway-ut,25.43,ma-c
Eagle Mountain,medication-aide-certified-per-diem-prn-eagle-mountain-ut,25.39,ma-c
Elko,medication-aide-certified-per-diem-prn-elko-nv,25.40,ma-c
Ely,medication-aide-certified-per-diem-prn-ely-nv,25.22,ma-c
Elyria,medication-aide-certified-per-diem-prn-elyria-nd,25.20,ma-c
Enterprise,medication-aide-certified-per-diem-prn-enterprise-al,26.10,ma-c
Enterprise,medication-aide-certified-per-diem-prn-enterprise-nv,25.29,ma-c
Enterprise UT,medication-aide-certified-per-diem-prn-enterprise-ut,24.80,ma-c
Escalante,medication-aide-certified-per-diem-prn-escalante-ut,25.15,ma-c
Euclid,medication-aide-certified-per-diem-prn-euclid-oh,25.23,ma-c
Eureka,medication-aide-certified-per-diem-prn-eureka-nv,25.29,ma-c
Fairborn,medication-aide-certified-per-diem-prn-fairborn-oh,25.23,ma-c
Fairfield,medication-aide-certified-per-diem-prn-fairfield-oh,25.20,ma-c
Fairhope,medication-aide-certified-per-diem-prn-fairhope-al,26.24,ma-c
Fallon,medication-aide-certified-per-diem-prn-fallon-nv,25.74,ma-c
Farmington UT,medication-aide-certified-per-diem-prn-farmington-ut,25.74,ma-c
Farr West,medication-aide-certified-per-diem-prn-farr-west-ut,25.63,ma-c
Fayetteville,medication-aide-certified-per-diem-prn-fayetteville-ar,25.68,ma-c
Fernley,medication-aide-certified-per-diem-prn-fernley-nv,25.20,ma-c
Ferron,medication-aide-certified-per-diem-prn-ferron-ut,25.55,ma-c
Fillmore,medication-aide-certified-per-diem-prn-fillmore-ut,25.23,ma-c
Findlay,medication-aide-certified-per-diem-prn-findlay-oh,25.67,ma-c
Florence,medication-aide-certified-per-diem-prn-florence-al,25.48,ma-c
Forest Park,medication-aide-certified-per-diem-prn-forest-park-oh,25.20,ma-c
Fort Smith,medication-aide-certified-per-diem-prn-fort-smith-ar,25.67,ma-c
Gadsden,medication-aide-certified-per-diem-prn-gadsden-al,24.80,ma-c
Gahanna OH,medication-aide-certified-per-diem-prn-gahanna-oh,24.80,ma-c
Garden City UT,medication-aide-certified-per-diem-prn-garden-city-ut,25.48,ma-c
Gardnerville,medication-aide-certified-per-diem-prn-gardnerville-nv,25.80,ma-c
Garfield Heights,medication-aide-certified-per-diem-prn-garfield-heights-oh,26.10,ma-c
Gerlach,medication-aide-certified-per-diem-prn-gerlach-nv,25.59,ma-c
Green,medication-aide-certified-per-diem-prn-green-oh,25.48,ma-c
Green River,medication-aide-certified-per-diem-prn-green-river-ut,25.74,ma-c
Grove City,medication-aide-certified-per-diem-prn-grove-city-oh,25.29,ma-c
Gunnison UT,medication-aide-certified-per-diem-prn-gunnison-ut,25.43,ma-c
Hamilton,medication-aide-certified-per-diem-prn-hamilton-oh,25.68,ma-c
Hammond,medication-aide-certified-per-diem-prn-hammond-la,25.74,ma-c
Hanceville,medication-aide-certified-per-diem-prn-hanceville-al,25.48,ma-c
Hanksville,medication-aide-certified-per-diem-prn-hanksville-ut,26.24,ma-c
Harvey,medication-aide-certified-per-diem-prn-harvey-la,25.55,ma-c
Hawthorne,medication-aide-certified-per-diem-prn-hawthorne-f-nv,25.43,ma-c
Hawthorne,medication-aide-certified-per-diem-prn-hawthorne-nv,25.55,ma-c
Heber City,medication-aide-certified-per-diem-prn-heber-city-ut,26.10,ma-c
