name,slug,pay,license
Crestview,per-diem-crestview-fl,51.97,rn icu
Crystal City,per-diem-crystal-city-tx,51.11,rn icu
Cutler Bay,per-diem-cutler-bay-fl,50.98,rn icu
Cypress,per-diem-cypress-tx,51.78,rn icu
Dade City,per-diem-dade-city-fl,51.78,rn icu
Dallas,per-diem-dallas-tx,51.78,rn icu
Daly City,per-diem-daly-city-ca,51.45,rn icu
Davenport IA,per-diem-davenport-ia,53.65,rn icu
Daytona Beach FL,per-diem-daytona-beach-fl,51.11,rn icu
Deer Park,per-diem-deer-park-tx,51.78,rn icu
Deerfield Beach,per-diem-deerfield-beach-fl,50.98,rn icu
Denver CO,per-diem-denver-co,81.97,rn icu
Des Moines,per-diem-des-moines-ia,51.78,rn icu
Detroit,per-diem-detroit-mi,51.45,rn icu
Doral,per-diem-doral-fl,50.98,rn icu
Dover,per-diem-dover-de,54.57,rn icu
Downers Grove,per-diem-downers-grove-il,49.31,rn icu
Draper,per-diem-draper-ut,54.98,rn icu
Dublin,per-diem-dublin-oh,51.78,rn icu
Dulles,per-diem-dulles-va,51.78,rn icu
Duluth,per-diem-duluth-mn,49.58,rn icu
Durham NC,per-diem-durham-nc,51.78,rn icu
Eagle Pass,per-diem-eagle-pass-tx,51.78,rn icu
Easton,per-diem-easton-md,51.78,rn icu
Edcouch,per-diem-edcouch-tx,51.45,rn icu
El Cajon,per-diem-el-cajon-ca,50.98,rn icu
Elizabethtown,per-diem-elizabethtown-ky,50.69,rn icu
Elmhurst IL,per-diem-elmhurst-il,54.98,rn icu
Eloy,per-diem-eloy-az,51.45,rn icu
Elyria,per-diem-elyria-nd,51.97,rn icu
englewood,per-diem-englewood-nj,55.98,rn icu
Enterprise,per-diem-enterprise-al,49.65,rn icu
Erie,per-diem-erie-pa,51.57,rn icu
Erlanger,per-diem-erlanger-ky,51.57,rn icu
Escondido CA,per-diem-escondido-ca,50.98,rn icu
Eugene,per-diem-eugene-or,51.11,rn icu
Evansville,per-diem-evansville-in,49.57,rn icu
Ewa Gentry,per-diem-ewa-gentry-hi,54.78,rn icu
Fairfax VA,per-diem-fairfax-va,51.45,rn icu
Fairfield,per-diem-fairfield-ct,53.87,rn icu
Falls Church,per-diem-falls-church-va,51.78,rn icu
Farmington ME,per-diem-farmington-me,51.11,rn icu
Farragut,per-diem-farragut-tn,51.95,rn icu
Fayetteville,per-diem-fayetteville-ar,50.89,rn icu
Federal Way,per-diem-federal-way-wa,50.98,rn icu
Fernandina Beach,per-diem-fernandina-beach-fl,50.98,rn icu
Fernley,per-diem-fernley-nv,51.11,rn icu
Florida City,per-diem-florida-city-fl,51.97,rn icu
Fort Collins,per-diem-fort-collins-co,50.98,rn icu
Fort Dodge,per-diem-fort-dodge-ia,51.45,rn icu
Fort Lauderdale,per-diem-fort-lauderdale-fl,51.11,rn icu
Fort Madison,per-diem-fort-madison-ia,50.98,rn icu
Fort Pierce FL,per-diem-fort-pierce-fl,50.98,rn icu
Fort Smith,per-diem-fort-smith-ar,51.78,rn icu
Fort Wayne,per-diem-fort-wayne-in,51.45,rn icu
Fort Worth,per-diem-fort-worth-tx,51.45,rn icu
Four Corners,per-diem-four-corners-fl,54.65,rn icu
Frankfort KY,per-diem-frankfort-ky,51.45,rn icu
Frederick,per-diem-frederick-md-54c42,52.65,rn icu
Frederick MD,per-diem-frederick-md,51.11,rn icu
Fredericksburg VA,per-diem-fredericksburg-va,51.45,rn icu
